Employee_ID,Review_Date,Performance_Score
EMP063,2024-04-22,2
EMP086,2023-12-13,5
EMP059,2024-06-17,1
EMP027,2023-01-23,1
EMP177,2025-01-14,3
EMP161,2024-05-23,3
EMP098,2020-11-13,5
EMP105,2020-08-23,1
EMP099,2020-11-29,5
EMP129,2021-01-10,3
EMP149,2024-01-22,3
EMP055,2023-03-06,1
EMP006,2021-08-10,4
EMP197,2024-04-19,2
EMP095,2021-05-27,3
EMP133,2023-08-12,3
EMP102,2023-09-05,4
EMP003,2022-07-06,4
EMP181,2024-05-14,5
EMP023,2025-01-29,5
EMP053,2023-10-04,2
EMP165,2025-02-06,2
EMP083,2024-12-07,1
EMP145,2022-05-22,5
EMP085,2023-06-06,3
EMP078,2020-09-26,5
EMP110,2025-01-25,3
EMP001,2022-03-08,4
EMP051,2023-08-07,5
EMP173,2021-12-25,4
EMP004,2023-04-03,2
EMP190,2020-01-05,2
EMP193,2022-04-30,1
EMP113,2023-11-03,5
EMP032,2020-03-18,4
EMP034,2023-12-04,3
EMP092,2021-07-27,2
EMP095,2020-05-11,2
EMP072,2021-08-23,3
EMP039,2024-11-07,4
EMP154,2022-12-01,4
EMP162,2020-03-29,5
EMP182,2021-02-05,5
EMP118,2020-10-22,1
EMP003,2025-02-06,2
EMP123,2023-08-11,5
EMP050,2021-09-07,4
EMP012,2024-03-29,3
EMP193,2022-03-10,4
EMP054,2024-09-10,2
EMP133,2024-07-18,4
EMP057,2021-02-25,1
EMP145,2025-03-03,2
EMP112,2022-11-12,3
EMP047,2021-07-28,1
EMP151,2020-05-22,2
EMP085,2022-09-19,3
EMP142,2021-10-26,1
EMP066,2020-05-24,1
EMP075,2023-06-02,2
EMP179,2022-10-03,5
EMP103,2021-05-17,1
EMP166,2022-03-31,1
EMP192,2024-06-27,3
EMP038,2020-04-13,4
EMP050,2022-11-28,2
EMP098,2020-07-16,2
EMP082,2024-07-27,5
EMP030,2021-08-01,5
EMP079,2021-01-25,2
EMP091,2023-04-17,5
EMP179,2021-07-07,3
EMP191,2024-01-11,2
EMP052,2024-03-03,5
EMP166,2022-11-04,2
EMP079,2024-07-04,4
EMP030,2024-08-19,1
EMP106,2023-08-05,2
EMP051,2021-04-22,1
EMP081,2023-06-08,5
EMP133,2022-07-11,1
EMP029,2021-02-23,2
EMP132,2020-06-05,4
EMP138,2021-07-03,5
EMP184,2024-01-04,2
EMP145,2023-01-25,5
EMP074,2022-10-17,3
EMP017,2022-09-23,1
EMP084,2023-12-05,3
EMP069,2022-08-08,2
